id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2463-P,58,1657.63405556418,JMSPD,Houston,California,Canada,Regional Pumpkin Festival,1870 E,1133 K,410,1422,14,Ghost
2479-P,68,1660.1345433117822,YCGJP,New York,California,UK,Regional Pumpkin Festival,1571 L,1907 I,421,1510,15,Fairytale
2817-P,23,1652.8933380376548,DTGYW,Los Angeles,Texas,China,Local Pumpkin Festival,1314 Z,1175 F,416,1537,12,Fairytale
2370-P,77,1629.5874919714406,FBOOW,Nottingham,New York,USA,Regional Pumpkin Festival,1938 U,1465 U,406,1433,14,Big Max
2822-P,60,1600.1355138011277,VTOMV,Los Angeles,Texas,China,Regional Pumpkin Festival,1407 E,1449 B,417,1530,-1,Blue Doll
2574-P,22,1584.2067262232304,XVWAT,Nottingham,California,Mexico,Local Pumpkin Festival,1509 M,1573 P,432,1627,-5,Ghost
2647-P,91,1587.6222996152937,FVBUA,Chicago,Florida,UK,National Pumpkin Festival,1764 T,1050 I,411,1449,6,Fairytale
2230-P,55,1578.9133700039238,PHQSH,Los Angeles,California,UK,National Pumpkin Festival,1740 W,1089 K,419,1543,4,Big Max
2288-P,43,1566.4437947515398,XIOHO,Chicago,Texas,USA,Local Pumpkin Festival,1074 U,1316 Y,390,1282,22,Ghost
2565-P,20,1558.66115900781,CYNCB,Houston,Florida,USA,Local Pumpkin Festival,1483 G,1169 S,415,1499,1,Ghost
2872-P,18,1555.0829051556066,KYZUN,New York,California,China,Regional Pumpkin Festival,1747 T,1125 Y,411,1481,1,Fairytale
2623-P,30,1544.3319804118946,XESHG,Chicago,New York,Canada,Regional Pumpkin Festival,1144 A,1592 X,402,1391,15,Fairytale
2483-P,51,1550.654641309753,DYQSQ,Los Angeles,Florida,Mexico,Regional Pumpkin Festival,1668 O,1511 E,410,1483,2,Fairytale
2682-P,57,1551.6404448114336,AGXIV,Chicago,Florida,USA,Local Pumpkin Festival,1266 F,1182 R,428,1618,-8,Big Max
2549-P,87,1539.4438577909023,OVCTR,Paris,California,Canada,National Pumpkin Festival,1417 L,1253 Z,408,1438,8,Blue Doll
2872-P,44,1551.6159198209643,FXYBD,Los Angeles,Florida,Canada,Local Pumpkin Festival,1909 I,1076 R,408,1444,4,Blue Doll
2621-P,35,1526.207729655318,SDXFK,Houston,Texas,Canada,National Pumpkin Festival,1361 Z,1849 X,412,1487,1,Blue Doll
2935-P,68,1533.1241445967928,KLKWJ,Houston,California,Mexico,Local Pumpkin Festival,1455 X,1036 J,409,1430,4,Big Max
2143-P,9,1532.4311611689627,XNGJI,Houston,Florida,Australia,Regional Pumpkin Festival,1030 Q,1022 Z,411,1424,10,Ghost
2044-P,90,1521.9193129353225,TXNCU,Houston,New York,UK,National Pumpkin Festival,1916 J,1512 P,401,1347,10,Ghost
2237-P,83,1535.414590514265,TFVVI,Los Angeles,Texas,USA,Regional Pumpkin Festival,1817 T,1952 L,406,1429,4,Fairytale
2719-P,22,1523.129537679255,QESJU,Los Angeles,Florida,China,Local Pumpkin Festival,1037 Q,1930 Q,411,1480,1,Fairytale
2645-P,49,1534.4129985095933,ILBZT,Houston,Florida,UK,Regional Pumpkin Festival,1241 Q,1455 W,414,1522,3,Big Max
2850-P,19,1524.4231680305675,YFEQS,Nottingham,California,Australia,Local Pumpkin Festival,1099 E,1440 W,418,1518,5,Ghost
2008-P,77,1516.2155868392438,QKXEB,Paris,Florida,UK,Local Pumpkin Festival,1361 X,1070 A,420,1543,-6,Ghost
2374-P,6,1518.422572790645,NQGWJ,Paris,New York,USA,Regional Pumpkin Festival,1478 X,1525 O,438,1696,-11,Ghost
2455-P,44,1516.2881469614804,NSHDK,Nottingham,California,China,Local Pumpkin Festival,1800 L,1951 B,405,1432,2,Big Max
2428-P,48,1497.1258424529806,BBVBQ,Nottingham,New York,China,National Pumpkin Festival,1280 Z,1344 D,417,1541,-6,Ghost
2892-P,29,1502.5516064856201,OREFX,Paris,California,France,Local Pumpkin Festival,1692 M,1158 T,399,1381,6,Ghost
2389-P,38,1497.1668813172728,QUOHU,Houston,Florida,France,Regional Pumpkin Festival,1848 J,1820 L,401,1393,2,Big Max
2349-P,52,1496.170615259558,HGEDX,Paris,New York,Australia,National Pumpkin Festival,1840 R,1226 K,387,1270,18,Blue Doll
2129-P,69,1501.0823785103858,POSJA,Nottingham,New York,UK,Regional Pumpkin Festival,1497 W,1696 R,405,1423,6,Blue Doll
2886-P,11,1493.2747981268913,TNDXA,Paris,New York,France,Local Pumpkin Festival,1880 L,1419 T,424,1541,-6,Blue Doll
2465-P,46,1486.455383031629,RCJRM,New York,Texas,UK,Regional Pumpkin Festival,1494 J,1933 V,420,1499,2,Big Max
2962-P,89,1483.1826375760138,VVXCD,Houston,New York,China,National Pumpkin Festival,1389 A,1346 D,413,1418,1,Fairytale
2755-P,28,1483.258695140481,VHYXN,New York,Texas,Canada,Local Pumpkin Festival,1165 Q,1722 G,406,1411,7,Big Max
2514-P,79,1473.6410760320723,OMVCZ,Houston,Florida,China,Regional Pumpkin Festival,1963 R,1247 T,417,1486,-2,Fairytale
2640-P,13,1487.161028135568,BEVEC,Chicago,Texas,China,National Pumpkin Festival,1270 C,1037 X,428,1580,-6,Blue Doll
2982-P,84,1467.9821247356012,CPOVZ,Chicago,Texas,UK,Local Pumpkin Festival,1702 B,1978 Z,418,1512,-4,Big Max
2303-P,61,1476.598679116927,ZFSHW,Paris,Florida,Australia,Regional Pumpkin Festival,1342 G,1127 Y,408,1433,5,Ghost
2296-P,11,1469.7094644038007,RROUC,Chicago,New York,China,Regional Pumpkin Festival,1944 P,1741 B,411,1493,-5,Ghost
2300-P,15,1467.9888847308234,BVAOD,Paris,New York,Australia,Regional Pumpkin Festival,1045 J,1376 A,406,1451,5,Fairytale
2462-P,41,1468.2030657147989,ICQPX,Los Angeles,Texas,China,National Pumpkin Festival,1547 M,1177 I,413,1511,-6,Big Max
2288-P,90,1471.738201676868,ENRUE,New York,California,Australia,Regional Pumpkin Festival,1442 X,1258 B,407,1412,5,Fairytale
2785-P,5,1467.1258345190436,FZPLZ,Chicago,California,Australia,Regional Pumpkin Festival,1428 T,1187 H,418,1466,4,Fairytale
2007-P,66,1454.4136311262846,PIDXB,Los Angeles,Florida,USA,National Pumpkin Festival,1753 N,1536 X,390,1267,11,Big Max
2675-P,76,1449.8358878418803,SKAEK,Los Angeles,Texas,Australia,National Pumpkin Festival,1789 L,1566 Z,416,1449,-1,Fairytale
2861-P,33,1448.4634665129706,ELUXV,Houston,Florida,UK,Local Pumpkin Festival,1890 O,1965 I,402,1335,5,Fairytale
2548-P,79,1441.5568483984098,PVXXL,Los Angeles,Texas,USA,National Pumpkin Festival,1070 I,1543 N,400,1392,1,Big Max
2225-P,86,1442.5344828981906,VPLVL,Houston,California,USA,Regional Pumpkin Festival,1252 X,1586 I,404,1367,6,Blue Doll
2660-P,13,1454.2763235615566,BXQYP,Nottingham,Texas,China,Regional Pumpkin Festival,1260 Z,1345 G,419,1486,-7,Big Max
2885-P,24,1446.9723263876513,NALOC,Nottingham,New York,USA,Local Pumpkin Festival,1374 L,1248 T,409,1432,-1,Fairytale
2716-P,58,1447.9891503592953,ZOSXY,Los Angeles,California,USA,Local Pumpkin Festival,1693 N,1131 R,393,1322,10,Big Max
2838-P,3,1446.6804736219347,RNOTA,Los Angeles,New York,UK,National Pumpkin Festival,1241 L,1837 H,417,1547,-7,Ghost
2753-P,72,1445.088992412202,UQOXI,Los Angeles,Florida,Mexico,Regional Pumpkin Festival,1546 Z,1915 X,384,1201,22,Big Max
2357-P,54,1446.4113431423903,AGNBS,Houston,New York,Mexico,National Pumpkin Festival,1691 Y,1349 O,377,1198,23,Ghost
2446-P,76,1437.0497703457252,HYOIW,Paris,New York,Australia,Regional Pumpkin Festival,1584 Y,1156 G,412,1426,4,Big Max
2555-P,81,1442.7065408602357,ENLOM,Nottingham,Texas,France,National Pumpkin Festival,1193 V,1428 P,374,1167,28,Big Max
2787-P,71,1435.748747272417,KEPBF,Los Angeles,California,Mexico,Local Pumpkin Festival,1870 Z,1840 V,436,1695,-13,Fairytale
2667-P,28,1432.3879807498306,WHZNW,Houston,Texas,China,National Pumpkin Festival,1507 K,1976 F,394,1292,14,Fairytale
2451-P,55,1424.5631870236248,JFLPM,Nottingham,Texas,Australia,Local Pumpkin Festival,1115 C,1203 P,403,1372,4,Ghost
2008-P,29,1427.836631020531,VGIIG,New York,Texas,Australia,Regional Pumpkin Festival,1811 H,1744 R,397,1342,8,Ghost
2617-P,4,1431.842901857756,LQRVO,Paris,Florida,USA,Local Pumpkin Festival,1335 T,1186 M,395,1353,1,Blue Doll
2686-P,98,1412.1568112922832,AOVCI,New York,Texas,UK,Local Pumpkin Festival,1004 C,1003 T,388,1241,9,Big Max
2817-P,62,1405.7650083694607,BPABN,Chicago,California,USA,Regional Pumpkin Festival,1293 Q,1859 N,394,1261,7,Ghost
2837-P,64,1405.023346482776,QGCVN,Chicago,Texas,Mexico,Regional Pumpkin Festival,1142 O,1011 D,388,1265,14,Fairytale
2181-P,80,1409.6710978867486,RFYPI,Nottingham,New York,France,Local Pumpkin Festival,1438 Q,1797 W,403,1417,3,Fairytale
2735-P,79,1411.7185236224905,FTCLY,Houston,Florida,Canada,Regional Pumpkin Festival,1680 Z,1631 C,394,1318,11,Big Max
2946-P,60,1406.189712330699,QTZOK,Paris,Florida,Canada,Local Pumpkin Festival,1391 C,1850 H,403,1351,2,Ghost
2782-P,21,1410.8727180622518,HWCPA,Houston,California,China,National Pumpkin Festival,1092 B,1433 X,404,1410,-3,Big Max
2524-P,79,1407.6359084574506,PCEMM,Paris,Texas,USA,National Pumpkin Festival,1627 C,1323 L,397,1374,6,Ghost
2418-P,62,1392.5778979584575,PWFUA,Los Angeles,Texas,UK,Local Pumpkin Festival,1173 W,1175 N,402,1350,2,Fairytale
2327-P,47,1400.1366175739095,MRDEJ,Chicago,Florida,USA,National Pumpkin Festival,1141 A,1569 T,402,1403,-4,Fairytale
2885-P,94,1382.9108085958287,ZLIST,Paris,Florida,USA,National Pumpkin Festival,1637 U,1283 Y,385,1267,7,Blue Doll
2700-P,17,1388.0281768273562,TSTCX,Chicago,Texas,Australia,National Pumpkin Festival,1498 Y,1933 I,391,1253,12,Blue Doll
2607-P,79,1384.6505144918337,HGXMJ,Houston,Florida,Canada,National Pumpkin Festival,1206 K,1543 U,397,1299,6,Blue Doll
2332-P,2,1388.0692607983947,QDVQT,Chicago,California,France,Local Pumpkin Festival,1350 A,1374 U,418,1489,-9,Fairytale
2976-P,83,1387.387583265081,PSSIH,Chicago,California,Australia,Regional Pumpkin Festival,1841 Z,1276 U,397,1364,0,Blue Doll
2388-P,46,1389.718577832915,RACPF,New York,New York,Mexico,National Pumpkin Festival,1866 B,1340 O,392,1284,6,Ghost
2165-P,99,1391.8211115933955,KAPTG,New York,Florida,China,National Pumpkin Festival,1138 Q,1678 J,412,1455,-4,Blue Doll
2880-P,13,1385.3616830755025,HQYSF,Los Angeles,New York,USA,Local Pumpkin Festival,1739 X,1666 D,394,1260,8,Blue Doll
2377-P,18,1377.7027001595125,SEGFY,Nottingham,California,Canada,National Pumpkin Festival,1245 Q,1223 B,402,1399,4,Fairytale
2776-P,4,1381.5341303525493,XHBJV,Los Angeles,Florida,China,Regional Pumpkin Festival,1960 A,1453 U,394,1308,11,Blue Doll
2052-P,43,1385.6618807949126,STAZD,Houston,California,China,Regional Pumpkin Festival,1504 Z,1703 N,383,1241,8,Ghost
2375-P,29,1382.4823777861893,MARMN,New York,New York,USA,Local Pumpkin Festival,1054 A,1101 L,368,1127,19,Ghost
2142-P,12,1364.587365030311,BPMLN,Paris,Florida,France,Regional Pumpkin Festival,1300 A,1658 Z,384,1256,4,Ghost
2547-P,78,1364.6721040830016,KLDQF,Nottingham,California,Mexico,Regional Pumpkin Festival,1773 W,1353 F,380,1162,19,Big Max
2016-P,34,1353.9340738700703,PGJZU,New York,Texas,Canada,National Pumpkin Festival,1197 T,1900 F,398,1343,6,Ghost
2445-P,80,1365.7103899987414,GOKRG,Nottingham,California,USA,National Pumpkin Festival,1063 I,1686 G,408,1441,-4,Blue Doll
2240-P,61,1365.8159176530316,VUQVZ,Los Angeles,New York,USA,Local Pumpkin Festival,1898 S,1694 E,373,1139,14,Big Max
2591-P,81,1364.1765875043347,VLESG,Paris,New York,Australia,National Pumpkin Festival,1279 S,1714 O,389,1291,0,Big Max
2126-P,35,1358.264825122431,TMGAQ,Nottingham,New York,USA,Regional Pumpkin Festival,1156 S,1009 C,391,1318,0,Fairytale
2916-P,70,1353.6310379700735,TEDUZ,Nottingham,New York,Australia,Regional Pumpkin Festival,1907 O,1458 A,390,1261,11,Blue Doll
2778-P,46,1345.6690478172154,GYRSN,New York,California,UK,Regional Pumpkin Festival,1002 R,1246 N,390,1306,7,Blue Doll
2840-P,14,1338.8754347898066,LDKRB,Nottingham,New York,Mexico,National Pumpkin Festival,1787 O,1377 W,380,1221,10,Fairytale
2078-P,31,1335.5741711705923,FGBGQ,Los Angeles,New York,Australia,Regional Pumpkin Festival,1886 B,1732 F,406,1419,-2,Fairytale
2873-P,57,1332.2125860229135,CTCVZ,Paris,California,Australia,National Pumpkin Festival,1260 E,1435 F,394,1272,9,Fairytale
2077-P,27,1339.7977104289457,HFNUN,Los Angeles,California,Canada,National Pumpkin Festival,1556 Y,1171 W,397,1369,-4,Big Max
2996-P,32,1331.3003557622433,WUSWA,Chicago,Texas,UK,Regional Pumpkin Festival,1050 V,1524 I,402,1384,-1,Blue Doll
2426-P,35,1325.8437706390396,XSBMV,New York,Florida,USA,National Pumpkin Festival,1467 E,1481 F,392,1299,3,Ghost
2368-P,77,1331.0841925060377,OXVHE,Los Angeles,New York,France,National Pumpkin Festival,1160 F,1113 O,388,1222,12,Blue Doll
2715-P,59,1321.2821653764695,LARCX,New York,Texas,France,National Pumpkin Festival,1126 L,1145 I,394,1268,0,Big Max
2664-P,5,1325.0071431947872,TIZPP,Chicago,Texas,China,Regional Pumpkin Festival,1670 I,1040 P,393,1274,4,Big Max
2703-P,22,1328.3527472028509,PKYAN,Los Angeles,Florida,Canada,Local Pumpkin Festival,1502 F,1250 E,401,1378,-9,Big Max
2433-P,45,1323.0979895815253,WCSXK,Los Angeles,Texas,Australia,Regional Pumpkin Festival,1750 C,1650 V,390,1284,8,Big Max
2472-P,74,1320.8676790088416,CYPCU,Nottingham,Texas,France,Local Pumpkin Festival,1619 Y,1729 L,385,1226,2,Fairytale
2022-P,35,1323.656449003145,MQSJQ,Houston,New York,UK,Regional Pumpkin Festival,1655 C,1966 B,386,1273,5,Ghost
2539-P,28,1316.1444771075621,SPGIJ,Nottingham,Texas,Mexico,National Pumpkin Festival,1775 J,1849 N,393,1293,4,Big Max
2403-P,7,1320.7360465107486,FPFGB,New York,Texas,Canada,Regional Pumpkin Festival,1099 P,1280 B,383,1232,4,Ghost
2512-P,4,1316.5369369257241,TIJFW,Houston,New York,Australia,Regional Pumpkin Festival,1444 W,1013 W,374,1162,9,Blue Doll
2195-P,86,1317.8263965025544,HWVQA,Los Angeles,California,Australia,Regional Pumpkin Festival,1362 G,1285 U,379,1206,6,Ghost
2853-P,21,1319.8402881035581,LLOLX,Paris,New York,France,Local Pumpkin Festival,1651 B,1485 E,374,1171,8,Fairytale
2471-P,15,1311.1339797247201,ZQHRR,New York,New York,USA,National Pumpkin Festival,1660 H,1895 Y,394,1265,4,Ghost
2696-P,74,1320.9626280600205,QDOLK,Houston,California,UK,National Pumpkin Festival,1080 W,1562 X,370,1150,12,Ghost
2220-P,4,1310.5229940982535,JDEQW,Paris,New York,Australia,National Pumpkin Festival,1658 N,1662 A,386,1227,4,Blue Doll
2613-P,90,1305.8672483945265,XTIHO,Paris,California,China,National Pumpkin Festival,1777 D,1431 D,389,1219,8,Big Max
2150-P,14,1301.493759745732,XNHRM,Houston,New York,Mexico,National Pumpkin Festival,1973 K,1870 N,402,1347,-7,Big Max
2347-P,65,1299.7417847095057,ZCNTQ,Los Angeles,Texas,China,Regional Pumpkin Festival,1817 E,1159 Y,401,1367,-3,Fairytale
2877-P,18,1306.8908335156739,HAWZH,Chicago,New York,UK,Local Pumpkin Festival,1217 M,1865 C,384,1264,1,Blue Doll
2582-P,92,1313.1556105589493,LDBSB,Paris,Texas,UK,Regional Pumpkin Festival,1105 U,1400 F,380,1169,17,Fairytale
2431-P,30,1311.1289316322654,BCUHS,Los Angeles,Texas,Mexico,Regional Pumpkin Festival,1559 H,1619 D,393,1285,-1,Blue Doll
2274-P,29,1310.9957675360142,DTGWW,Paris,Florida,UK,National Pumpkin Festival,1349 C,1598 K,413,1480,-14,Fairytale
2292-P,18,1290.8079004185274,JXPTB,New York,New York,Mexico,Local Pumpkin Festival,1711 O,1967 V,368,1123,12,Fairytale
2211-P,44,1291.7640425935388,PVCQV,Nottingham,Florida,France,National Pumpkin Festival,1969 R,1888 J,392,1295,-4,Fairytale
2404-P,6,1301.2280700253323,BARFO,New York,Florida,China,National Pumpkin Festival,1267 G,1416 X,385,1244,-1,Blue Doll
2750-P,84,1286.2706884946674,AJYFD,New York,Texas,Canada,National Pumpkin Festival,1853 C,1312 M,386,1240,0,Big Max
2780-P,62,1296.3086466416717,CORED,Houston,Florida,Mexico,Regional Pumpkin Festival,1149 F,1613 Y,368,1122,17,Fairytale
2968-P,30,1285.2448222180828,SVSBL,New York,Florida,France,National Pumpkin Festival,1128 S,1350 S,387,1265,1,Ghost
2644-P,90,1288.60345041845,SBQOH,Nottingham,Florida,Canada,National Pumpkin Festival,1848 I,1760 J,386,1192,8,Ghost
2665-P,36,1286.24098729603,PYSIJ,Chicago,California,Australia,National Pumpkin Festival,1868 A,1311 Y,383,1173,13,Blue Doll
2674-P,54,1286.2379287192598,OMXPV,Chicago,Texas,China,Local Pumpkin Festival,1418 W,1749 B,393,1336,-6,Fairytale
2090-P,94,1285.0413527647033,DKCLI,Chicago,New York,China,Local Pumpkin Festival,1087 E,1786 R,385,1274,-2,Fairytale
2863-P,22,1283.008173235692,BTSQL,Paris,Florida,UK,National Pumpkin Festival,1955 K,1910 P,393,1274,0,Ghost
2224-P,26,1278.834254055284,ONDET,Nottingham,Texas,USA,Local Pumpkin Festival,1985 W,1870 T,390,1237,2,Fairytale
2934-P,66,1280.5489229271188,EKAIE,Paris,California,USA,Local Pumpkin Festival,1023 J,1106 T,389,1295,-6,Ghost
2190-P,46,1265.4422233728692,YNBZH,Chicago,California,China,Regional Pumpkin Festival,1789 V,1829 J,384,1241,-1,Big Max
2653-P,80,1265.3806358985603,OGDWV,New York,California,Australia,National Pumpkin Festival,1295 V,1780 Q,382,1213,2,Ghost
2024-P,45,1278.4198985509574,DUQVO,Los Angeles,California,France,Local Pumpkin Festival,1736 W,1932 S,375,1157,11,Blue Doll
2074-P,79,1266.286970834434,QLKJL,Paris,Texas,France,Local Pumpkin Festival,1509 D,1815 K,390,1229,-1,Fairytale
2708-P,100,1265.0060815913603,WJTAV,Nottingham,New York,Canada,Local Pumpkin Festival,1904 Y,1169 H,402,1370,-7,Fairytale
2802-P,34,1269.1198447477072,EXQNT,Paris,Texas,UK,National Pumpkin Festival,1167 L,1278 Y,378,1167,12,Fairytale
2509-P,75,1261.2734800977632,WRRCR,Houston,Texas,France,Local Pumpkin Festival,1723 I,1211 F,371,1140,9,Blue Doll
2898-P,80,1265.9245959930122,RSFYE,Paris,Florida,Mexico,Regional Pumpkin Festival,1251 P,1698 Q,-5,-2,-4,Big Max
2549-P,90,1262.0810021050274,VPHVR,New York,Texas,Australia,Local Pumpkin Festival,1958 X,1460 N,371,1099,11,Fairytale
2000-P,15,1255.1591111719608,YYQLM,Los Angeles,New York,France,Local Pumpkin Festival,1564 Q,1860 V,375,1160,13,Blue Doll
2683-P,68,1261.9439418716356,WUXCV,Houston,Texas,USA,Regional Pumpkin Festival,1773 E,1284 R,373,1146,12,Big Max
2449-P,78,1260.3443694720045,UCSUS,Houston,New York,China,National Pumpkin Festival,1312 W,1608 U,389,1273,1,Blue Doll
2441-P,100,1262.5133360810578,ZHWWD,Paris,Florida,Canada,National Pumpkin Festival,1923 D,1565 Z,371,1132,10,Fairytale
2892-P,31,1243.8582770889625,WCDNJ,Paris,Texas,Canada,Local Pumpkin Festival,1182 N,1418 S,401,1319,-5,Big Max
2499-P,55,1251.3524957671762,HFEII,Nottingham,Florida,China,National Pumpkin Festival,1333 Y,1795 Q,385,1190,5,Fairytale
2829-P,51,1248.4636613614857,LGYGD,Nottingham,New York,China,Local Pumpkin Festival,1576 O,1516 A,384,1222,5,Big Max
2479-P,85,1245.6141226151958,IMJLM,Chicago,New York,Mexico,National Pumpkin Festival,1100 I,1212 W,370,1145,11,Fairytale
2442-P,48,1248.9636235646904,WSPGT,Houston,New York,Mexico,National Pumpkin Festival,1333 G,1948 N,387,1217,8,Ghost
2296-P,61,1255.4985144115985,QSPKK,Houston,Texas,UK,National Pumpkin Festival,1591 C,1793 M,401,1327,-11,Blue Doll
2848-P,91,1241.9326232280582,SXAHK,Houston,Texas,UK,National Pumpkin Festival,1018 X,1991 T,367,1090,19,Blue Doll
2854-P,46,1246.2685320554301,OQUVB,Paris,California,China,National Pumpkin Festival,1429 F,1912 P,390,1240,0,Big Max
2370-P,17,1237.8529644254595,PQTVI,Paris,New York,China,Local Pumpkin Festival,1303 Z,1566 F,381,1201,-1,Blue Doll
2900-P,43,1235.2793535795063,UAKVI,Nottingham,Florida,USA,Regional Pumpkin Festival,1201 N,1320 A,380,1221,6,Big Max
2647-P,26,1241.5308134201914,BZGXE,Paris,Texas,UK,National Pumpkin Festival,1501 J,1479 V,394,1333,-9,Fairytale
2835-P,56,1234.7268894361332,OKBTO,Chicago,New York,Canada,Regional Pumpkin Festival,1278 F,1712 J,405,1398,-16,Fairytale
2507-P,31,1240.3548879552632,TPOVD,Nottingham,Texas,Mexico,Local Pumpkin Festival,1621 I,1623 B,390,1279,-6,Fairytale
2605-P,54,1225.690266378224,YMIHO,Los Angeles,Texas,Mexico,Regional Pumpkin Festival,1145 R,1241 Q,399,1353,-11,Big Max
2033-P,22,1238.4799154223874,JINLO,Nottingham,California,USA,Local Pumpkin Festival,1767 T,1259 Z,398,1370,-11,Fairytale
2958-P,75,1222.0605828464031,XWDUG,Houston,Texas,Canada,National Pumpkin Festival,1411 D,1100 V,370,1143,9,Blue Doll
2583-P,39,1235.197228427045,AMVHO,Nottingham,Texas,Canada,Regional Pumpkin Festival,1408 A,1360 Y,381,1159,11,Ghost
2588-P,100,1219.5877960463986,CUGLA,Nottingham,California,USA,National Pumpkin Festival,1278 S,1571 S,380,1192,1,Fairytale
2592-P,9,1219.5721651593224,GTJLP,New York,Florida,USA,Local Pumpkin Festival,1183 U,1229 S,373,1126,10,Blue Doll
2932-P,81,1230.323808615096,ORTGB,New York,New York,France,Regional Pumpkin Festival,1890 L,1465 O,388,1215,3,Ghost
2175-P,42,1225.2501680606977,KZNVW,Paris,Texas,Mexico,Local Pumpkin Festival,1088 V,1083 V,384,1180,2,Big Max
2995-P,70,1218.0204176411032,YQXVA,Los Angeles,New York,UK,Regional Pumpkin Festival,1878 N,1434 H,391,1301,-10,Ghost
2742-P,71,1217.762511371635,HZYFZ,New York,Florida,Australia,Regional Pumpkin Festival,1252 H,1371 F,365,1106,13,Blue Doll
2028-P,46,1221.8603317467496,NIHKS,Paris,California,USA,Regional Pumpkin Festival,1504 C,1394 N,379,1142,2,Big Max
2407-P,45,1212.710153534077,JERJQ,Chicago,Texas,Australia,Regional Pumpkin Festival,1337 L,1629 L,375,1105,8,Blue Doll
2562-P,88,1206.4227663550525,ULWJF,New York,Texas,China,National Pumpkin Festival,1708 V,1166 U,396,1325,-13,Blue Doll
2199-P,100,1207.7634960543364,HGTJN,New York,Florida,Mexico,National Pumpkin Festival,1376 V,1615 M,384,1174,8,Blue Doll
2921-P,89,1209.1982889454812,JDLNP,Paris,Florida,UK,Local Pumpkin Festival,1961 J,1716 W,388,1271,-8,Big Max
2800-P,69,1220.446656940505,EVWSG,Los Angeles,New York,Australia,National Pumpkin Festival,1837 U,1678 N,387,1219,0,Big Max
2410-P,43,1213.3922904366627,GPAFC,New York,Texas,Mexico,Local Pumpkin Festival,1524 C,1496 B,369,1094,15,Fairytale
2540-P,87,1216.689148071222,RUJSU,New York,Texas,China,Regional Pumpkin Festival,1597 L,1846 A,374,1094,15,Ghost
2368-P,71,1202.9132641609758,CWVCT,New York,California,France,National Pumpkin Festival,1173 H,1405 O,374,1156,2,Fairytale
2979-P,58,1205.6591235054657,SEPMB,Chicago,Florida,Mexico,Local Pumpkin Festival,1137 I,1718 N,376,1134,5,Fairytale
2297-P,46,1210.3383549209684,KZBRS,Los Angeles,New York,USA,National Pumpkin Festival,1876 F,1768 P,371,1142,7,Ghost
2593-P,40,1213.8324269307777,YDRBX,New York,Florida,UK,Local Pumpkin Festival,1015 K,1354 F,393,1279,-8,Ghost
2211-P,26,1199.0430293129757,UKVNX,Houston,Florida,Canada,Regional Pumpkin Festival,1431 S,1802 J,378,1202,-2,Fairytale
2108-P,97,1209.3736999966204,TNPBN,Houston,California,Canada,National Pumpkin Festival,1555 J,1775 K,383,1250,-5,Ghost
